Input,Output,Domain
"복합상가 지하1층 D계단 앞에 현재 33명이 있으며, 기준 인원은 설정되어 있지 않습니다. 시각은 12시 45분입니다.","12시 45분 복합상가 지하1층 D계단 앞에 33명이 모여 있습니다. 기준값은 없지만 반복적으로 체류가 발생하는 구간으로, 안내 유도선 확보가 필요합니다.",군중 밀집 및 체류 감지
"08:30 도서관 3층 E열람실 입구 감지 인원 18명, 기준 인원 20명","도서관 3층 E열람실 입구에는 현재 시각 08시 30분 기준으로 18명이 머무르고 있습니다. 기준 인원에는 미달하지만, 정숙 유지를 위해 출입 간격 조정이 필요할 수 있습니다.",군중 밀집 및 체류 감지
"현재 시각 15시 25분, 터미널 2층 F게이트 앞에 74명이 있습니다. 기준 인원은 50명입니다.",터미널 2층 F게이트 앞에 15시 25분 현재 기준보다 24명이 더 많은 인원이 대기 중입니다. 유입 증가로 정체가 누적되고 있어 줄 정비가 시급합니다.,군중 밀집 및 체류 감지
"10:05 쇼핑몰 2층 G에스컬레이터 하단 사람 38명, 기준 인원 35명","쇼핑몰 2층 G에스컬레이터 하단에 기준 인원 35명보다 소폭 많은 38명이 감지되었습니다. 10시 05분 기준, 밀집 가능성이 있어 현장 점검 바랍니다.",군중 밀집 및 체류 감지
"시청 광장 H구역에 11시 10분 현재 59명이 있으며, 기준은 미설정 상태입니다.","시청 광장 H구역에는 기준값 없이 59명이 확인되었습니다. 특정 시간대 반복 체류가 발생하는 지점으로, 분산 유도가 요구됩니다.",군중 밀집 및 체류 감지
"09:55 영화관 1층 I매표소 대기선 현재 인원 29명, 기준 인원 25명","영화관 1층 I매표소 앞에 기준 인원보다 많은 29명이 줄을 서 있습니다. 09시 55분 현재, 정체가 이어지고 있어 매표 흐름 정리가 필요합니다.",군중 밀집 및 체류 감지
"현재 시각은 16시 40분이며, 월드컵경기장 J게이트 앞에 212명이 집결 중입니다. 기준 인원은 150명입니다.",월드컵경기장 J게이트 앞에는 기준 인원 150명을 크게 상회한 212명이 감지되었습니다. 경기 시작을 앞두고 유입 집중 현상이 발생하고 있어 방송 안내가 필요합니다.,군중 밀집 및 체류 감지
"14:10 시청 앞 중앙광장 감지 인원 112명, 기준 인원 80명","시청 앞 중앙광장에 14시 10분 현재 112명이 확인되었습니다. 기준 인원 80명을 초과한 상태로 유입이 집중되고 있으며, 중심부 정체로 인해 통행 분산이 필요합니다. 추가 유입 시 혼잡이 가중될 수 있어 방송 안내를 권장합니다.",군중 밀집 및 체류 감지
"현재 시각은 09시 20분이며, 박람회장 B관 입구 앞에 46명이 있습니다. 기준 인원은 50명입니다.","박람회장 B관 입구 앞에는 09시 20분 현재 46명이 확인되었습니다. 기준 인원에 근접한 상태이며, 곧 입장객이 몰릴 수 있어 정렬 안내 문구를 준비해 주세요.",군중 밀집 및 체류 감지
"복합상업지구 지하1층 F통로 기준 인원 60명, 현재 인원 124명, 시각 13:10","복합상업지구 지하1층 F통로에 13시 10분 기준으로 124명이 감지되었습니다. 기준 인원을 두 배 이상 상회하여 정체가 발생 중이며, 흐름 유지를 위한 유도선 정비가 필요합니다.",군중 밀집 및 체류 감지
"11:55 콘서트장 외부 매표소 대기 공간 인원 79명, 기준 인원 70명",콘서트장 외부 매표소 앞에는 현재 기준 인원 70명을 초과한 79명이 모여 있는 상태입니다. 11시 55분 기준으로 입장 대기열이 길어지고 있어 사전 정비가 필요합니다.,군중 밀집 및 체류 감지
축제광장 중앙부에 14시 40분 현재 87명이 있습니다. 기준 인원은 설정되어 있지 않습니다.,"축제광장 중앙부에는 기준 수치 없이 87명이 체류 중입니다. 14시 40분 현재 반복 유입 구간으로 밀집 가능성이 있으며, 안전 확보를 위해 안내 유도가 필요합니다.",군중 밀집 및 체류 감지
"10:05 백화점 2층 에스컬레이터 하단 감지 인원 38명, 기준 인원 35명","백화점 2층 에스컬레이터 하단에 10시 05분 현재 38명이 감지되었습니다. 기준 인원을 초과해 흐름이 느려지고 있으며, 충돌 방지를 위해 질서 안내가 필요합니다.",군중 밀집 및 체류 감지
"현재 시각 08시 45분, 도서관 3층 열람실 앞에 22명이 있습니다. 기준 인원은 25명입니다.","도서관 3층 열람실 앞에는 현재 기준 인원 25명에 근접한 22명이 확인되었습니다. 08시 45분 시점에서는 안정적인 수준이지만, 이후 유입에 대비해 관찰이 필요합니다.",군중 밀집 및 체류 감지
"15:25 터미널 2층 G게이트 대기구역 감지 인원 74명, 기준 인원 50명",터미널 2층 G게이트 앞에는 기준 인원 50명을 크게 초과한 74명이 감지되었습니다. 15시 25분 현재 혼잡도가 높아지고 있어 빠른 줄 정비와 유도 방송이 요구됩니다.,군중 밀집 및 체류 감지
"지하철 역사 5호선 1번 출입구 앞 인원 56명, 기준 없음, 시간 17:00",지하철 역사 5호선 1번 출입구 앞에는 17시 기준 56명이 머무르고 있습니다. 기준 수치는 설정되어 있지 않지만 반복 체류 구간으로 유입 관리를 위한 조치가 필요합니다.,군중 밀집 및 체류 감지
"16:10 실내체육관 로비 감지 인원 31명, 기준 인원 30명","실내체육관 로비에는 현재 기준 인원 30명을 약간 넘긴 31명이 확인되었습니다. 16시 10분 현재 흐름은 유지되고 있으나, 예비 유입에 대비해 안내 인력을 준비해 주세요.",군중 밀집 및 체류 감지
"14:35 전시센터 1층 A입구 감지 인원 94명, 기준 인원 60명","전시센터 1층 A입구에 14시 35분 현재 94명이 확인되었습니다. 기준 인원 60명을 크게 초과한 상태이며, 입구 전방에 대기열이 밀집되고 있습니다. 유입을 분산시키기 위한 안내 방송과 유도선 정비가 필요합니다.",군중 밀집 및 체류 감지
"현재 시각 10시 15분, 시청 앞 광장에 71명이 있습니다. 기준 인원은 50명입니다.",시청 앞 광장에는 기준 인원 50명을 초과한 71명이 체류 중입니다. 10시 15분 현재 유입이 증가하며 주변 보행 흐름이 둔화되고 있습니다. 질서 유지를 위한 유도 조치가 요구됩니다. 지금부터는 현장 안내 인력 배치를 검토해 주세요.,군중 밀집 및 체류 감지
"11:20 복합문화센터 로비 감지 인원 39명, 기준 미설정",복합문화센터 로비에는 11시 20분 현재 39명이 머무르고 있습니다. 기준 수치는 설정되어 있지 않지만 반복 체류가 발생하는 시간대입니다. 공간 흐름 유지 차원에서 조기 안내가 필요할 수 있습니다.,군중 밀집 및 체류 감지
"13:00 공항 국내선 C게이트 앞 감지 인원 128명, 기준 인원 100명","공항 국내선 C게이트 앞에 기준 인원 100명을 넘긴 128명이 확인되었습니다. 13시 기준 대기열이 점차 길어지고 있으며, 탑승 안내 지연도 우려됩니다. 조속한 줄 정비와 안내 방송이 권장됩니다.",군중 밀집 및 체류 감지
복합상가 지하2층 연결통로에 15시 05분 기준 88명이 있습니다. 기준 인원은 없습니다.,"복합상가 지하2층 연결통로에는 기준 수치 없이 88명이 확인되었습니다. 15시 05분 현재 유입이 이어지는 상황이며, 반복 정체 구간으로 판단됩니다. 통행 흐름 확보를 위한 유도선 표시가 필요합니다.",군중 밀집 및 체류 감지
"08:50 도서관 1층 열람실 입구 감지 인원 19명, 기준 인원 25명",도서관 1층 열람실 입구에는 현재 기준 인원 25명보다 적은 19명이 확인되었습니다. 08시 50분 시점에서는 비교적 여유 있는 상태입니다. 다만 향후 유입에 대비해 관찰은 지속해야 합니다.,군중 밀집 및 체류 감지
"현재 시각 16시 10분, 체육관 실내 로비에 31명이 있으며 기준 인원은 30명입니다.","체육관 실내 로비에는 기준 인원 30명을 소폭 넘긴 31명이 감지되었습니다. 16시 10분 현재 흐름은 유지되고 있으나, 다가오는 종료 시간대에는 밀집 가능성이 있습니다. 선제적 조치 준비를 권장합니다.",군중 밀집 및 체류 감지
"12:40 야외무대 앞 광장 감지 인원 143명, 기준 인원 100명",야외무대 앞 광장에는 12시 40분 현재 기준 인원 100명을 초과한 143명이 확인되었습니다. 주요 공연 시작 전 유입이 집중되며 혼잡이 가중되고 있습니다. 우회 동선 유도와 현장 경고 방송이 필요합니다.,군중 밀집 및 체류 감지
전시회장 2층 D홀 출입로에 10시 기준 66명이 있으며 기준값은 설정되어 있지 않습니다.,"전시회장 2층 D홀 출입로에는 기준값 없이 66명이 머무르고 있습니다. 10시 현재 출입 반복이 이어지는 시간대로, 현장 분산 유도가 요구됩니다.",군중 밀집 및 체류 감지
"09:25 터미널 1층 정문 앞 감지 인원 148명, 기준 인원 120명",터미널 1층 정문 앞에 기준 인원 120명을 초과한 148명이 감지되었습니다. 09시 25분 현재 유입량이 빠르게 증가하고 있어 혼잡 심화가 우려됩니다. 조기 방송 안내와 동선 분산을 준비해 주세요.,군중 밀집 및 체류 감지
"13:20 백화점 1층 A게이트 앞 감지 인원 94명, 기준 인원 60명",입구가 좁아 유입이 집중되는 백화점 1층 A게이트 앞에 13시 20분 현재 기준 인원을 초과한 94명이 확인되었습니다. 정체가 누적되고 있어 안내 방송과 줄 정비가 필요합니다.,군중 밀집 및 체류 감지
"현재 시각 09시 30분, 박람회장 B관 내부에 86명이 있습니다. 기준 인원은 50명입니다.","박람회장 B관 내부에는 기준 인원 50명을 크게 초과한 86명이 머무르고 있습니다. 09시 30분 현재 이미 혼잡한 상태로, 이대로 유입이 지속되면 대기 공간 확보가 어려울 수 있어 빠른 조치가 요구됩니다.",군중 밀집 및 체류 감지
"10:45 전시센터 3층 로비 감지 인원 49명, 기준 미설정","기준 수치는 설정되어 있지 않지만, 전시센터 3층 로비에 10시 45분 현재 49명이 머무르고 있습니다. 전시 시작 전후로 혼잡이 자주 발생하는 구역으로, 사전 유도선 정비가 필요합니다.",군중 밀집 및 체류 감지
"11:00 야외 공연장 앞 광장 감지 인원 139명, 기준 인원 120명","공연 대기 인파가 몰리면서 야외 공연장 앞 광장에 139명이 확인되었습니다. 기준 인원 120명을 초과한 상태이며, 안내 인력 배치와 방송 유도를 검토해 주세요. 현재 시각은 11시입니다.",군중 밀집 및 체류 감지
지하상가 C통로에 현재 시각 15시 05분 기준 87명이 있습니다. 기준값은 없습니다.,"지하상가 C통로에는 기준값 없이 87명이 체류 중입니다. 유입이 반복되는 시간대라 정체 발생 가능성이 높으며, 보행자 안전 확보를 위해 유도 안내가 필요합니다.",군중 밀집 및 체류 감지
"08:50 도서관 2층 열람실 앞 감지 인원 18명, 기준 인원 25명",도서관 2층 열람실 앞에 08시 50분 현재 18명이 머무르고 있습니다. 기준 인원 25명에 미달하며 현재는 여유 있는 상태입니다. 다만 향후 등교 시간대에 대비해 상황을 주시해 주세요.,군중 밀집 및 체류 감지
"현재 시각 16시 00분, 전시회장 2층 D홀 출입구에 64명이 있습니다. 기준 인원은 50명입니다.",16시 기준 전시회장 2층 D홀 출입구에는 기준 인원 50명을 초과한 64명이 확인되었습니다. 출입 동선이 혼잡해지고 있어 유입 분산을 위한 안내가 요구됩니다.,군중 밀집 및 체류 감지
"14:40 복합문화센터 로비 감지 인원 131명, 기준 인원 90명","기준 인원 90명을 크게 넘긴 131명이 복합문화센터 로비에 14시 40분 현재 머무르고 있습니다. 로비가 협소해 정체가 심화될 수 있으며, 조기 방송 및 안내 인력 확보가 필요합니다.",군중 밀집 및 체류 감지
축제장 D구역 외곽부에 12시 25분 현재 59명이 있습니다. 기준 미설정,"기준은 미설정 상태지만, 축제장 D구역 외곽부에 59명이 확인되었습니다. 이 구역은 반복 유입이 많은 지점이라 흐름 유도를 준비해 주세요.",군중 밀집 및 체류 감지
"09:10 지하철 4호선 2번 출구 앞 감지 인원 73명, 기준 인원 60명","지하철 4호선 2번 출구 앞에 09시 10분 현재 73명이 감지되었습니다. 기준 인원보다 13명 많아졌고, 유입 속도도 빠른 편입니다. 통행 정체를 방지하려면 빠른 조치가 필요합니다.",군중 밀집 및 체류 감지
"현재 시각은 09시 45분이며, 야외무대 앞 B통로에 62명이 있습니다. 기준 인원은 60명입니다.","야외무대 앞 B통로에는 기준 인원 60명에 근접한 62명이 확인되었습니다. 현재는 큰 혼잡은 없지만, 10시 이후 공연 시작 전 유입이 반복되는 구간입니다. 조기 정렬을 준비해 주세요.",군중 밀집 및 체류 감지
"11:30 복합상가 1층 C출입구 전방 감지 인원 38명, 기준 인원 40명","복합상가 1층 C출입구 전방에는 기준 인원보다 2명 적은 38명이 감지되었습니다. 11시 30분 현재는 원활한 상태이며, 정오 이후 유입이 증가할 가능성이 있습니다.",군중 밀집 및 체류 감지
"지하철 역사 2호선 D환승통로 현재 인원 121명, 기준 미설정, 시각 17:20","지하철 역사 2호선 D환승통로에는 17시 20분 현재 121명이 머무르고 있습니다. 기준 수치는 설정되어 있지 않지만, 퇴근 시간대 반복 정체가 발생하는 구간입니다. 유입 흐름을 분산시켜 주세요.",군중 밀집 및 체류 감지
"현재 시각은 08시 15분이며, 도서관 2층 정문 앞에 18명이 있습니다. 기준 인원은 25명입니다.","도서관 2층 정문 앞에는 08시 15분 현재 기준 인원보다 적은 18명이 확인되었습니다. 이 시점은 안정적인 상태이며, 추가 조치는 필요하지 않습니다.",군중 밀집 및 체류 감지
"13:40 전시회장 1층 E게이트 진입로 감지 인원 97명, 기준 인원 70명",전시회장 1층 E게이트 진입로에는 기준 인원 70명을 초과한 97명이 13시 40분 현재 체류 중입니다. 유입이 계속되면 오후 2시 무렵 정체가 심화될 수 있어 조기 방송이 필요합니다.,군중 밀집 및 체류 감지
복합문화센터 지하1층 F복도에 현재 시각 15시 00분 기준 55명이 있습니다. 기준 수치는 없음.,"복합문화센터 지하1층 F복도에는 기준 수치 없이 55명이 확인되었습니다. 반복 유입이 많은 시간대이며, 흐름 제어를 위한 선제적 유도가 권장됩니다.",군중 밀집 및 체류 감지
"10:25 시청광장 G무대 앞 감지 인원 112명, 기준 인원 80명","시청광장 G무대 앞에는 10시 25분 현재 기준 인원보다 많은 112명이 감지되었습니다. 오전 유입이 다소 집중되는 구간으로, 정오 이후 흐름 분산 조치가 필요합니다.",군중 밀집 및 체류 감지
"현재 시각 12시 55분, 축제장 H출입구 외부 통로에 34명이 있으며 기준은 미설정입니다.","축제장 H출입구 외부 통로에는 기준 미설정 상태에서 34명이 머무르고 있습니다. 12시 55분 현재는 여유 있으나, 13시 이후 반복 유입되는 구간으로 경계가 필요합니다.",군중 밀집 및 체류 감지
"09:30 공항 국제선 I보안검색 진입구 감지 인원 129명, 기준 인원 100명",공항 국제선 I보안검색 진입구에는 기준 인원 100명을 초과한 129명이 09시 30분 현재 확인되었습니다. 대기열 정체가 이어지고 있어 흐름 제어와 안내 인력이 필요합니다.,군중 밀집 및 체류 감지
"복합상업타워 3층 J홀 입구 앞 인원 42명, 기준 없음, 시간 14:05","복합상업타워 3층 J홀 입구 앞에는 14시 05분 기준 42명이 머무르고 있습니다. 기준은 설정되어 있지 않지만, 이 시점 유입이 반복되는 구간으로 밀집 방지를 위한 유도가 요구됩니다.",군중 밀집 및 체류 감지
"09:50 쇼핑몰 3층 A전망대 앞 감지 인원 77명, 기준 인원 60명","쇼핑몰 3층 A전망대 앞에는 기준 인원 60명을 초과한 77명이 09시 50분 현재 감지되었습니다. 오전 시간대부터 유입이 몰리고 있으며, 점심 이후 혼잡 심화 가능성이 있어 사전 방송이 권장됩니다.",군중 밀집 및 체류 감지
"현재 시각 14시 20분, 공항 국제선 B수하물 수취구역에 124명이 있습니다. 기준 인원은 100명입니다.",공항 국제선 B수하물 수취구역에는 14시 20분 기준 124명이 확인되었습니다. 기준 인원인 100명을 초과한 상태로 대기 공간이 포화에 근접해 있습니다. 유입 지속 시 정체 심화가 우려되므로 빠른 조치가 필요합니다.,군중 밀집 및 체류 감지
"전시회장 1층 C부스 주변 현재 인원 31명, 기준 미설정, 시각 13:15",전시회장 1층 C부스 주변에는 기준 미설정 상태에서 31명이 13시 15분 기준 머무르고 있습니다. 오후 입장객 유입이 이어지는 시점이므로 분산 유도를 고려해 주세요.,군중 밀집 및 체류 감지
"08:10 도서관 1층 북카페 앞 감지 인원 12명, 기준 인원 20명",도서관 1층 북카페 앞에는 08시 10분 현재 12명이 확인되었습니다. 기준 인원보다 적은 수치로 현재는 여유 있는 상태입니다. 별도 조치는 필요하지 않습니다.,군중 밀집 및 체류 감지
"16:40 복합상업지구 2층 D출입로 감지 인원 98명, 기준 인원 80명",복합상업지구 2층 D출입로에는 16시 40분 기준 98명이 확인되었습니다. 기준 인원 80명을 초과한 상태에서 퇴근 시간대 유입이 지속될 수 있어 정체 관리가 요구됩니다.,군중 밀집 및 체류 감지
"현재 시각 13시 05분, 공연장 E입구 외곽 구간에 59명이 있습니다. 기준은 미설정입니다.","공연장 E입구 외곽 구간에는 기준 미설정 상태에서 59명이 확인되었습니다. 13시 05분 현재 관람객 대기열이 형성되는 시점으로, 선제 대응이 필요합니다.",군중 밀집 및 체류 감지
"10:35 터미널 3층 F게이트 근처 감지 인원 66명, 기준 인원 60명",터미널 3층 F게이트 근처에는 기준 인원 60명을 약간 초과한 66명이 10시 35분 현재 머무르고 있습니다. 당장은 안정적이나 정오 이후 정체가 시작될 수 있어 조기 안내를 검토해 주세요.,군중 밀집 및 체류 감지
"현재 시각 11시 15분, 전통시장 G중앙통로에 34명이 있습니다. 기준 인원은 40명입니다.",전통시장 G중앙통로에는 현재 기준 인원보다 적은 34명이 머무르고 있어 11시 15분 현재는 안정적인 상태입니다. 하지만 정오 이후 유입 증가가 반복되는 구간입니다.,군중 밀집 및 체류 감지
"12:30 체육관 1층 H입장구역 감지 인원 102명, 기준 인원 90명","체육관 1층 H입장구역에는 12시 30분 현재 기준 인원 90명을 초과한 102명이 감지되었습니다. 점심 시간대 이후 관람객 유입이 지속되며, 대기 공간 확보가 필요합니다.",군중 밀집 및 체류 감지
"복합문화회관 2층 I세미나홀 앞 인원 26명, 기준 없음, 시각 09:25",복합문화회관 2층 I세미나홀 앞에는 09시 25분 현재 기준 없음 상태에서 26명이 확인되었습니다. 해당 구역은 오전 강연 전 반복 유입이 발생하는 구간으로 분산 관리가 필요합니다.,군중 밀집 및 체류 감지
"현재 시각은 09시 50분이며, 시청광장 A출입구에 62명이 있습니다. 기준 인원은 50명입니다.",09시 50분 현재 시청광장 A출입구에는 기준 인원 50명을 초과한 62명이 확인되었습니다. 지금부터 유입이 점차 늘어날 것으로 예상돼 분산 안내가 필요합니다.,군중 밀집 및 체류 감지
"현재 시각 10시 30분, 전시센터 1층 B게이트 주변에 71명이 있습니다. 기준 인원은 60명입니다.",전시센터 1층 B게이트 주변에는 10시 30분 현재 기준 인원 60명을 넘긴 71명이 체류 중입니다. 이 시간대에는 유입이 반복되기 때문에 조기 안내가 요구됩니다.,군중 밀집 및 체류 감지
"11:20 기준 복합상가 C홀 입구 앞 감지 인원 88명, 기준 인원 70명","복합상가 C홀 입구 앞에는 11시 20분 기준으로 88명이 확인되었습니다. 기준 인원 70명이 초과되어 혼잡이 시작되고 있으며, 빠른 조치가 필요합니다.",군중 밀집 및 체류 감지
"08:15 도서관 1층 북카페 앞 감지 인원 15명, 기준 인원 25명","도서관 1층 북카페 앞에는 현재 시각 08시 15분 기준으로 15명이 확인되었습니다. 기준 인원 25명 보다 적은 수치로, 현재는 여유 있는 상태입니다.",군중 밀집 및 체류 감지
"현재 시각은 13시 10분이며, 전시회장 2층 D출입구에 93명이 있습니다. 기준 인원은 80명입니다.",13시 10분 현재 전시회장 2층 D출입구에는 기준 인원 80명을 초과한 93명이 확인되었습니다. 이 시간대는 유입 집중 구간으로 안내 인력이 필요합니다.,군중 밀집 및 체류 감지
"현재 시각 12시 05분, 축제장 E구역 외곽 통로에 44명이 있습니다. 기준 미설정입니다.","12시 05분 현재 축제장 E구역 외곽 통로에는 기준은 설정되어 있지 않지만 44명이 체류 중입니다. 반복 유입이 예상되는 구간으로, 조기 분산 안내를 고려해 주세요.",군중 밀집 및 체류 감지
"현재 시각 14시 50분, 터미널 1층 F게이트 앞에 109명이 있습니다. 기준 인원은 90명입니다.",14시 50분 현재 터미널 1층 F게이트 앞에는 기준 인원 90명을 초과한 109명이 머무르고 있습니다. 오후 시간대 대기열 증가가 반복되어 빠른 유도 조치가 필요합니다.,군중 밀집 및 체류 감지
"현재 시각은 15시 40분이며, 공연장 G입구에 83명이 있습니다. 기준 인원은 80명입니다.",15시 40분 현재 공연장 G입구에는 기준 인원 80명에 근접한 83명이 확인되었습니다. 현재는 원활하지만 공연 시작 직전 혼잡이 예상되므로 조기 정비를 권장합니다.,군중 밀집 및 체류 감지
"09:25 기준 지하철 4호선 H출입구 앞 감지 인원 73명, 기준 인원 60명",지하철 4호선 H출입구 앞에는 09시 25분 기준으로 기준 인원 60명을 넘긴 73명이 감지되었습니다. 혼잡이 반복되는 시간대로 안내 유도가 필요합니다.,군중 밀집 및 체류 감지
"현재 시각 16시 20분, 공항 국제선 I수속 구간에 134명이 있습니다. 기준 인원은 100명입니다.","16시 20분 현재 공항 국제선 I수속 구간에는 기준 인원 100명보다 많은 134명이 확인되었습니다. 저녁 시간대 유입 증가가 지속될 것으로 보이며, 분산 유도 안내가 필요합니다.",군중 밀집 및 체류 감지
"08:50 터미널 1층 A게이트 앞 감지 인원 44명, 기준 인원 40명","08시 50분 현재 터미널 1층 A게이트 앞에는 기준 인원 40명을 초과한 44명이 확인되었습니다. 아침 시간대 유입이 시작되는 구간으로, 조기 정비가 필요합니다.",군중 밀집 및 체류 감지
"11:10 복합상가 2층 B엘리베이터 대기구역 감지 인원 63명, 기준 인원 60명","오전 11시 10분 기준으로 복합상가 2층 B엘리베이터 앞에는 63명이 감지되었습니다. 기준 인원 60명을 초과한 상태이며, 대기열이 형성되고 있어 분산 안내가 필요합니다.",군중 밀집 및 체류 감지
"13:25 도서관 1층 C복도 앞 감지 인원 19명, 기준 인원 25명",13시 25분 시점에는 도서관 1층 C복도 앞에 19명이 머무르고 있습니다. 기준 인원보다 적은 상태로 현재는 여유 있는 상황입니다.,군중 밀집 및 체류 감지
"13:00 공연장 D입구 외곽 감지 인원 94명, 기준 인원 80명","13시 무렵 공연장 D입구 외곽에는 기준 인원 80명을 초과한 94명이 확인된 상태입니다. 유입이 집중되는 시간대로, 조기 안내가 필요합니다.",군중 밀집 및 체류 감지
"10:05 시청광장 E전면 감지 인원 88명, 기준 인원 70명",10시 05분 현재 시청광장 E전면에는 기준 인원 70명을 초과한 88명이 감지된 상태입니다. 오전 유입이 본격적으로 시작되는 시간대로 분산 유도가 요구됩니다.,군중 밀집 및 체류 감지
"14:10 복합문화센터 F정문 앞 감지 인원 118명, 기준 인원 100명",14시 10분을 지나며 복합문화센터 F정문 앞에는 기준 인원100명을 초과한 118명이 확인되었습니다. 유입이 집중되는 시점이므로 정비가 필요합니다.,군중 밀집 및 체류 감지
"15:45 공항 국내선 G게이트 대기라인 감지 인원 79명, 기준 인원 70명","지금은 15시 45분이며, 공항 국내선 G게이트 앞에는 기준 인원 70명보다 많은 79명이 감지되었습니다. 퇴근 시간대 혼잡이 시작되는 구간입니다.",군중 밀집 및 체류 감지
"09:55 지하철 역사 H환승통로 감지 인원 134명, 기준 없음",09시 55분 기준으로 지하철 역사 H환승통로에는 기준값 없이 134명이 체류 중입니다. 오전 유입 집중 시간대로 유도선 확보가 필요합니다.,군중 밀집 및 체류 감지
"11:25 전시회장 2층 I홀 앞 감지 인원 46명, 기준 인원 50명",11시 25분 현재 전시회장 2층 I홀 앞에는 기준 인원 46명보다 다소 적은 46명이 확인되었습니다. 이 시점은 비교적 여유 있는 상태입니다.,군중 밀집 및 체류 감지
"16:05 야외무대 J구역 감지 인원 102명, 기준 인원 80명",16시 05분 현재 야외무대 J구역에는 기준 인원 80명을 초과한 102명이 감지된 상태입니다. 공연 시작 전 유입이 본격화되는 시점으로 안내 조치가 필요합니다.,군중 밀집 및 체류 감지
"14:38 시청 앞 광장에 670명 감지, 기준 인원 400명",시청 앞 광장에는 기준 인원 400명을 크게 초과한 670명이 모여 있습니다. 14시 38분 현재 중심부 정체와 밀집이 심화되어 즉각적인 안내 방송과 진입 통제 조치가 필요합니다.,군중 밀집 및 체류 감지
